facility_damage,summary_point,lat,long,highlight_in_map2
10000.0,POINT (-76.3029730965891 36.978596937035995),36.9786,-76.30297,True
0.0,POINT (-88.5823 41.30835),41.30835,-88.5823,False
0.0,POINT (-88.563763 30.368853),30.36885,-88.56376,False
0.0,POINT (-90.16837 42.06497),42.06497,-90.16837,False
2000.0,POINT (-91.983025 29.950685),29.95068,-91.98302,True
9037.0,POINT (-76.29498333333333 36.77518333333333),36.77518,-76.29498,True
0.0,POINT (-91.0920583333333 40.7985638888889),40.79856,-91.09206,False
0.0,POINT (-91.2942555555556 40.6255),40.6255,-91.29426,False
0.0,POINT (-91.216703 29.695193),29.69519,-91.2167,False
2000.0,POINT (-91.033493041992 39.44543874333623),39.44544,-91.03349,True
0.0,POINT (-121.51683333333334 38.570833333333326),38.57083,-121.51683,False
0.0,POINT (-89.46137215786835 40.93006706988298),40.93007,-89.46137,False
0.0,POINT (-81.70033022378261 41.488344231594816),41.48834,-81.70033,False
0.0,POINT (-90.7205 29.5679166666667),29.56792,-90.7205,False
