,activity_id,serious_marine_incident,marine_board_convened,invest_level,casualty_classification,incident_involvement,invest_type
0,2033581,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2033934,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2034209,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2034825,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2036073,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2036208,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2036254,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2037494,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2037890,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2038291,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2038373,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2038720,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2039362,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2039431,true,false,,Significant Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2039990,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2040634,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2042715,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2045309,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2049986,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2053889,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2054748,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2058117,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2058180,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2059064,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2060639,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2063738,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2064181,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2065114,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2065537,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2065985,true,false,,Significant Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2071222,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2074374,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2076376,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2076678,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2076715,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2076914,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2077951,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2080678,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2086214,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2086277,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2086469,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2087565,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2087687,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2087746,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2094345,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2094414,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2095377,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2097700,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2097878,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2098962,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2099085,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2099279,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2100756,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2101211,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2101344,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2108436,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2108696,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2109253,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2112017,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2112060,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2117513,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2123295,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2123503,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2123698,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2124720,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2129612,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2129902,true,false,,Major Marine Casualty,"Marine Casualty, Reportable",Incident Investigation
0,2130455,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2134115,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2138135,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2140548,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2142554,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2146691,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2147062,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2147843,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2153420,false,false,,Routine,Alleged Civil Offense(s),Incident Investigation
0,2153721,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2153775,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2161232,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2165314,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2170794,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2171540,true,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2175021,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2183825,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2184262,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
0,2189037,false,false,,Routine,"Marine Casualty, Reportable",Incident Investigation
